old_x old_y new_lat new_lon id
1551756.57445 7432000.64564 40.7222778 -111.8198491 152.0

1551662.689 7440778.54464 40.7463693 -111.8203012 153.0

1554478.57381 7429945.39646 40.7166631 -111.8100036 155.0

1554477.57073 7431961.85139 40.7221976 -111.8100324 156.0

1551719.47396 7434703.06943 40.7296947 -111.8200178 157.0

1551745.42665 7437678.00268 40.7378602 -111.8199626 154.0

1554475.9422 7434690.50694 40.7296869 -111.8100724 158.0

1554458.2172 7437672.5105 40.7378713 -111.8101737 159.0

1554317.66119 7440822.72717 40.7465163 -111.8107204 160.0

1556559.6133 7441107.30487 40.7473184 -111.8026330 161.0

1520965.76712 7455614.42437 40.7867341 -111.9313390 162.0

1549551.60791 7437596.28451 40.7376141 -111.8278776 163.0

1541347.81876 7453133.9016 40.7801729 -111.8577041 164.0

1517464.95772 7444376.49483 40.7558435 -111.9437789 24.0

